"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","AVWAGE","TOT","USD","A","1990",40821.5319617133,
"AUT","AVWAGE","TOT","USD","A","1991",42097.5554387251,
"AUT","AVWAGE","TOT","USD","A","1992",42945.6673977692,
"AUT","AVWAGE","TOT","USD","A","1993",43295.8157802583,
"AUT","AVWAGE","TOT","USD","A","1994",43732.033783534,
"AUT","AVWAGE","TOT","USD","A","1995",44084.3451500257,
"AUT","AVWAGE","TOT","USD","A","1996",43763.5017813621,
"AUT","AVWAGE","TOT","USD","A","1997",43389.2642881815,
"AUT","AVWAGE","TOT","USD","A","1998",44789.8075097605,
"AUT","AVWAGE","TOT","USD","A","1999",45781.4730803117,
"AUT","AVWAGE","TOT","USD","A","2000",45902.3583706038,
"AUT","AVWAGE","TOT","USD","A","2001",45786.641153518,
"AUT","AVWAGE","TOT","USD","A","2002",46454.3397816055,
"AUT","AVWAGE","TOT","USD","A","2003",46589.7286993888,
"AUT","AVWAGE","TOT","USD","A","2004",47464.0680315261,
"AUT","AVWAGE","TOT","USD","A","2005",47715.5276666741,
"AUT","AVWAGE","TOT","USD","A","2006",48411.6097437845,
"AUT","AVWAGE","TOT","USD","A","2007",48644.5751102388,
"AUT","AVWAGE","TOT","USD","A","2008",49509.355655464,
"AUT","AVWAGE","TOT","USD","A","2009",50312.1937809248,
"AUT","AVWAGE","TOT","USD","A","2010",50096.7144403547,
"AUT","AVWAGE","TOT","USD","A","2011",49578.9147044103,
"AUT","AVWAGE","TOT","USD","A","2012",49835.1142689799,
"AUT","AVWAGE","TOT","USD","A","2013",49896.4923427939,
"AUT","AVWAGE","TOT","USD","A","2014",50082.8486085934,
"AUT","AVWAGE","TOT","USD","A","2015",50373.8110600107,
"AUT","AVWAGE","TOT","USD","A","2016",50906.0202794225,
"AUT","AVWAGE","TOT","USD","A","2017",50851.3971310611,
"AUT","AVWAGE","TOT","USD","A","2018",50868.2460070356,
"BEL","AVWAGE","TOT","USD","A","1990",41615.9039478587,
"BEL","AVWAGE","TOT","USD","A","1991",43445.3096637393,
"BEL","AVWAGE","TOT","USD","A","1992",44840.1097792691,
"BEL","AVWAGE","TOT","USD","A","1993",45781.9386923893,
"BEL","AVWAGE","TOT","USD","A","1994",46670.6260229665,
"BEL","AVWAGE","TOT","USD","A","1995",46512.5807965997,
"BEL","AVWAGE","TOT","USD","A","1996",47011.0274973784,
"BEL","AVWAGE","TOT","USD","A","1997",47670.0988514471,
"BEL","AVWAGE","TOT","USD","A","1998",47587.9003157604,
"BEL","AVWAGE","TOT","USD","A","1999",50128.8546895508,
"BEL","AVWAGE","TOT","USD","A","2000",49795.6762864105,
"BEL","AVWAGE","TOT","USD","A","2001",50077.9589464315,
"BEL","AVWAGE","TOT","USD","A","2002",50941.3509552103,
"BEL","AVWAGE","TOT","USD","A","2003",51156.3901200273,
"BEL","AVWAGE","TOT","USD","A","2004",50932.2382068964,
"BEL","AVWAGE","TOT","USD","A","2005",50609.8880608394,
"BEL","AVWAGE","TOT","USD","A","2006",50815.5954636155,
"BEL","AVWAGE","TOT","USD","A","2007",50575.4020988928,
"BEL","AVWAGE","TOT","USD","A","2008",50725.026495778,
"BEL","AVWAGE","TOT","USD","A","2009",51159.3217639053,
"BEL","AVWAGE","TOT","USD","A","2010",50872.4869977198,
"BEL","AVWAGE","TOT","USD","A","2011",51204.9433987126,
"BEL","AVWAGE","TOT","USD","A","2012",51550.5810399973,
"BEL","AVWAGE","TOT","USD","A","2013",52221.5780271822,
"BEL","AVWAGE","TOT","USD","A","2014",52514.3276124905,
"BEL","AVWAGE","TOT","USD","A","2015",52120.1091513927,
"BEL","AVWAGE","TOT","USD","A","2016",51951.714996454,
"BEL","AVWAGE","TOT","USD","A","2017",51736.0997219822,
"BEL","AVWAGE","TOT","USD","A","2018",52079.6153106353,
"CAN","AVWAGE","TOT","USD","A","1990",35072.7787841072,
"CAN","AVWAGE","TOT","USD","A","1991",34890.7729106932,
"CAN","AVWAGE","TOT","USD","A","1992",35446.4394068035,
"CAN","AVWAGE","TOT","USD","A","1993",35411.829934969,
"CAN","AVWAGE","TOT","USD","A","1994",35245.6839064569,
"CAN","AVWAGE","TOT","USD","A","1995",35352.133121783,
"CAN","AVWAGE","TOT","USD","A","1996",35710.8365010938,
"CAN","AVWAGE","TOT","USD","A","1997",37064.3697248257,
"CAN","AVWAGE","TOT","USD","A","1998",37815.3184924692,
